System,Faithfulness,Answer Relevancy,Context Precision,Context Recall,Answer Similarity,Answer Correctness,Average
GPT-3.5,0.08333333333333333,0.8102940503168072,,,0.7931043818659256,0.25660942879981474,0.3905568657193135
GPT-4,0.6666666666666666,0.8879216615480797,,,0.8017284744887463,0.28709878528885324,0.5072359313320577
Naive,0.5580160606179516,0.6595563818613644,0.7875246197782575,0.514305722665105,0.2807772304080639,0.5291371502228394,0.5548861942589303
Recursive,0.37910436665811803,0.744158768516516,0.7218185436618823,0.383333333319537,0.2881846378185577,0.6743698686313537,0.531828253100994
"Chunk 500, overlap 0%",0.5178571428318453,0.08887419910980832,0.7823103540646448,0.2770260012149542,0.5135334746462015,0.5806318298661063,0.46003883362226006
"Chunk 500, overlap 5%",0.5654761904440476,0.21877583676589568,0.801542481983854,0.3467149855758081,0.5854075644217054,0.6577487408495556,0.5292776333401444
"Chunk 500, overlap 10%",0.6527777777437169,0.23068059867065763,0.7932745489403233,0.3267908594577825,0.7465186755328165,0.6673828462567347,0.5695708844336719
"Chunk 500, overlap 15%",0.8417458799876386,0.535714285685615,0.10714285714285714,0.8123837359812203,0.3415783387210829,0.5781267756173357,0.5361153121892916
"Chunk 500, overlap 20%",0.6360895146373698,0.4867165339489229,0.23749799255073092,0.6848457950104733,0.47194216726187227,0.3159992600962911,0.4721818772509434
"Chunk 1000, overlap 0%",0.3649844406591822,0.8527431962146095,0.7317567901907379,0.37962962961530866,0.2881846378185577,0.671611268025519,0.5481516604206526
"Chunk 1000, overlap 5%",0.39896972521321916,0.6485746359374465,0.6412525000053897,0.3981481481375617,0.3831787358476301,0.5703915922063981,0.5067525562246075
"Chunk 1000, overlap 10%",0.3628679305155264,0.7700503814557214,0.7298931903143989,0.37962962961530866,0.2881846378185577,0.6714168900037026,0.533673776620536
"Chunk 1000, overlap 15%",0.5448347849786028,0.6507977991691751,0.7937332855163638,0.519767070009136,0.2770735267038355,0.531771081509023,0.5529962579810227
"Chunk 1000, overlap 20%",0.6428571428571429,0.7412092492285727,0.41296296294364204,0.23333333333333334,0.795648892634245,0.2665312707776088,0.5154238086290909
"Chunk 2000, overlap 0%",0.34614944729785024,0.8299008116511766,0.6629087703055992,0.37962962961530866,0.2881846378185577,0.6748880529443301,0.5302768916054704
"Chunk 2000, overlap 5%",0.6869047619047619,0.8172784511670432,0.407407407387716,0.3,0.7908276499679795,0.2444926267777091,0.5411518162008683
"Chunk 2000, overlap 10%",0.6658730158730158,0.8154071021631657,0.3740740740543827,0.3,0.7872317408797499,0.22930793521993745,0.5286489780317086
"Chunk 2000, overlap 15%",0.7392857142857142,0.8017737968403235,0.37962962961030866,0.3,0.7916366575445545,0.30659964057661476,0.5531542398095859
"Chunk 2000, overlap 20%",0.7582101874663381,0.5267210002319151,0.7222549129762987,0.7305029568790968,0.45645078854847576,0.2375251736745471,0.5719441699627786
"Chunk 3000, overlap 0%",0.3363671044727226,0.7076239139482169,0.6725046010227455,0.37962962961530866,0.2881846378185577,0.674785454960078,0.5098492236396049
"Chunk 3000, overlap 5%",0.3364225732207364,0.7943214717239374,0.6690453300652374,0.35740740739530863,0.2881846378185577,0.6749777466198591,0.5200598611406061
"Chunk 3000, overlap 10%",0.3876448137551206,0.7131861636215127,0.7341471556060885,0.37962962961530866,0.29175762051548243,0.6748699975751936,0.5302058967814511
"Chunk 3000, overlap 15%",0.7883597883597884,0.7413651267089622,0.3740740740543827,0.3,0.7921566226726762,0.30672963185864516,0.5504475406090757
"Chunk 3000, overlap 20%",0.8075396825396824,0.6774293655643148,0.35740740739030863,0.26666666666666666,0.7936988849891973,0.2642580545806326,0.5278333436218005
"Chunk size 2000, 20%, K=2",0.41196982188546777,0.2820991433554118,0.5794571794353129,0.26666666665,0.32690218884045436,0.5932209297464018,0.41005265498550814
