System,Faithfulness,Answer Relevancy,Context Precision,Context Recall,Answer Similarity,Answer Correctness,Average
Naive,0.8402822112268962,0.726358027364704,0.5124999999947917,0.7640915653927134,0.7547297152449399,0.8054262559772201,0.7338979625335442
Recursive,0.8402822112268962,0.720529173463671,0.4555555555509259,0.54215074677641,0.7886803325272959,0.8019540337549977,0.6915253422166995
"Chunk 500, overlap 0%",0.7846135252036398,0.7167731948825914,0.49259259258796295,0.6532059849449383,0.6782846821898962,0.8043276404786247,0.6882996033812755
"Chunk 500, overlap 5%",0.8938515092969498,0.7358549343418654,0.47083333332812494,0.8018401957734475,0.6783886091126152,0.8141781114455584,0.7324911155497603
"Chunk 500, overlap 10%",0.8710560594978144,0.7441014378032336,0.47083333332812494,0.579264752029798,0.7002954088978071,0.6980676793880063,0.6772697784907974
"Chunk 500, overlap 15%",0.8725099503825737,0.7326574197094893,0.5624999999947916,0.6861194361459979,0.6786904706259964,0.8057065682768951,0.7230306408559573
"Chunk 500, overlap 20%",0.8954899898842857,0.7360524037465052,0.5124999999947917,0.5747297331352158,0.6783139379920151,0.808880408974609,0.7009944122879038
"Chunk 1000, overlap 0%",0.8726218111563397,0.733201243212572,0.520833333328125,0.6858051569845185,0.6786904706259964,0.8046333359536628,0.7159642252102024
"Chunk 1000, overlap 5%",0.8702672713973773,0.738509362256678,0.47083333332812494,0.8012527327446476,0.6778420571265632,0.7997074278649998,0.7264020307863984
"Chunk 1000, overlap 10%",0.8737662549622645,0.740747136887297,0.5124999999947917,0.5792701213277952,0.6784245253689457,0.7998530449255955,0.6974268472444484
"Chunk 1000, overlap 15%",0.8150606256002569,0.7172227254200831,0.5124999999947917,0.7618536896493598,0.6780187369328455,0.8057428832196205,0.7150664434694929
"Chunk 1000, overlap 20%",0.7846135252036398,0.7393493656488568,0.4555555555509259,0.5791039522497337,0.6782846821898962,0.6607247684164017,0.649605308209909
"Chunk 2000, overlap 0%",0.8755215177891298,0.7223511199582917,0.5124999999947917,0.7965403461200016,0.6781080023836139,0.8055609512162996,0.7317636562436881
"Chunk 2000, overlap 5%",0.8629481901100426,0.7055296212177444,0.5124999999947917,0.6490975543410916,0.7371276806611032,0.7606818319858409,0.7046474797184357
"Chunk 2000, overlap 10%",0.8962679314909415,0.723014488881481,0.6374999999822917,0.5797729077003837,0.6786904706259964,0.8057065682768951,0.7201587278263316
"Chunk 2000, overlap 15%",0.8747179096814864,0.7174306643526174,0.5190476190416666,0.6907853295481857,0.7058857801627806,0.7976244432797917,0.7175819576777546
"Chunk 2000, overlap 20%",0.8710518316343436,0.7394496672116285,0.47083333332812494,0.802466110175136,0.6849217174071743,0.8091787904991175,0.7296502417092542
"Chunk 3000, overlap 0%",0.8725463803993652,0.7289246185367105,0.452380952375,0.8020963255990157,0.6784245253689457,0.7998530449255955,0.7223709745341055
"Chunk 3000, overlap 5%",0.8941601580426752,0.7160221687912488,0.4740740740694444,0.578858349419837,0.6781372581857328,0.8090404873890515,0.6917154159829982
"Chunk 3000, overlap 10%",0.895770045534225,0.7217333531545417,0.6374999999822917,0.8009310409745249,0.6781372581857328,0.8055682651668293,0.7566066604996909
"Chunk 3000, overlap 15%",0.8748695635777011,0.7331772596554903,0.5124999999947917,0.5759433527508312,0.7898015817259965,0.8057065682768951,0.7153330543302842
"Chunk 3000, overlap 20%",0.8385417435229742,0.7234535805764061,0.47083333332812494,0.6532991553329516,0.6782846821898962,0.8123453172463014,0.6961263020327757
"Chunk size 3000, 20%, K=2",0.85,0.7909931738903567,0.44444444439999997,0.7962962962962963,0.8720231594219207,0.581712716810622,0.7225782984698658
"Chunk size 3000, 20%, K=3",0.6666666666666666,0.9063454583736095,0.44444444441666664,0.6944444444444444,0.8720772910984,0.650643398045734,0.7057702838409203
"Chunk size 3000, 20%, K=5",0.8357142857142856,0.8991932819798988,0.4080246913414917,0.6388888888888888,0.8754729345302391,0.6393227790871052,0.7161028102569849
"Chunk size 3000, 20%, K=6",0.8520833333333333,0.8820433681520515,0.4155864197378099,0.6944444444444444,0.8704122602074927,0.644422602010729,0.7264987379809767
"Chunk size 3000, 20%, K=7",0.9353291874131142,0.751634952210058,0.5548941798865245,0.8102814379641448,0.7169941856430285,0.5447357598166326,0.7189782838222505
Parent Retriever 1000-200,0.886640881818297,0.6272715975983204,0.6666666666666666,0.7104038795226805,0.7213767643633987,0.7640336497889504,0.7293989066263856
Parent Retriever 500-100,0.9291666666666667,0.89969196771366,0.6141975308265946,0.6129629629629629,0.8841711770162756,0.6209977412678394,0.7601980077423333
MMR,0.86514350353527,0.7569996148073276,0.5611111110962963,0.6903259463391294,0.7373064591218461,0.6147278493539697,0.7042690807089732
BM25,0.8208333333333333,0.8855602912208993,0.5370370369990741,0.6666666666666666,0.883300449266541,0.5802166467081697,0.7289357373657808
Ensambler 1,0.9223525209846422,0.7378473372367139,0.6203703703672839,0.6288876574238864,0.7818283236703353,0.7132216311868881,0.7340846401449582
Ensambler 2,0.886907428971913,0.7195020139875743,0.6574074074040124,0.5895622528882428,0.7915828746483409,0.7957967739143526,0.7401264586357393
Ensambler 3,1.0,0.8682885429176371,0.3915211640100227,0.6277777777777778,0.8786100456204146,0.6638725642779024,0.7383450157672925
Parent Retriever 1500-200,0.85,0.6619112554501009,0.4444444444111111,0.5555555555555556,0.848804500523443,0.4909973289270646,0.6419521808112125
Search query,0.8125,0.8837825569579709,0.41358024689439293,0.4444444444444444,0.8615619198978303,0.5940229586069363,0.6683153544669292
Parent Retriever 500-100 -GPT4,0.9017857142857143,0.8387996571669999,0.6141975308265946,0.6547619047619047,0.8869885431072092,0.7327113235211757,0.771540778944933
"Chunk 3000, overlap 10%, GPT4",0.9091699624082208,0.7456048002029252,0.44195011337273243,0.5606451204172044,0.6773198562382733,0.796229299295349,0.6884865253224509
"Ensambler 2, GPT-4",0.8226085569618098,0.7101173511809405,0.6145833333295139,0.630390860896033,0.6807922513356374,0.7819364633243302,0.7067381361713775
