System,Faithfulness,Answer Relevancy,Context Precision,Context Recall,Answer Similarity,Answer Correctness,Average
GPT-3.5,1.0,0.376,,,0.848,0.454,0.625
GPT-4,0.75,0.361,,,0.836,0.415,0.551
Naive,0.905,0.773,0.9,0.98,0.902,0.6,0.843
Recursive,0.917,0.772,0.9,0.98,0.902,0.644,0.853
"Chunk 500, overlap 0%",1.0,0.838,0.8,0.9,0.92,0.565,0.837
"Chunk 500, overlap 5%",0.875,0.741,0.847,0.925,0.92,0.625,0.822
"Chunk 500, overlap 10%",0.875,0.745,0.85,0.95,0.918,0.637,0.829
"Chunk 500, overlap 15%",0.889,0.659,0.9,0.9,0.912,0.598,0.81
"Chunk 500, overlap 20%",0.907,0.82,0.892,0.938,0.916,0.632,0.851
"Chunk 1000, overlap 0%",0.944,0.797,0.925,0.98,0.918,0.623,0.865
"Chunk 1000, overlap 5%",0.982,0.702,0.925,0.98,0.918,0.591,0.85
"Chunk 1000, overlap 10%",1.0,0.782,0.933,0.98,0.923,0.653,0.879
"Chunk 1000, overlap 15%",0.982,0.698,0.9,0.98,0.92,0.622,0.85
"Chunk 1000, overlap 20%",1.0,0.889,0.883,0.98,0.921,0.609,0.88
"Chunk 2000, overlap 0%",0.759,0.825,0.917,0.825,0.862,0.781,0.828
"Chunk 2000, overlap 5%",1.0,0.733,0.95,0.775,0.888,0.548,0.816
"Chunk 2000, overlap 10%",1.0,0.833,0.95,0.78,0.911,0.578,0.842
"Chunk 2000, overlap 15%",0.958,0.84,0.95,0.775,0.91,0.575,0.835
"Chunk 2000, overlap 20%",1.0,0.735,0.933,0.78,0.894,0.575,0.82
"Chunk 3000, overlap 0%",0.733,0.922,0.709,0.971,0.883,0.778,0.833
"Chunk 3000, overlap 5%",0.908,0.715,0.925,0.617,0.852,0.792,0.802
"Chunk 3000, overlap 10%",0.733,0.92,0.691,0.783,0.875,0.776,0.796
"Chunk 3000, overlap 15%",0.73,0.921,0.654,0.838,0.882,0.775,0.8
"Chunk 3000, overlap 20%",0.863,0.771,0.866,0.916,0.677,0.846,0.823
"Chunk size 3000, overlap 20%, K=2",0.958,0.732,0.9,1.0,0.906,0.524,0.837
"Chunk size 3000, overlap 20%, K=3",1.0,0.64,0.883,0.925,0.916,0.568,0.822
"Chunk size 3000, overlap 20%, K=5",0.968,0.677,0.903,1.0,0.916,0.603,0.845
Parent Retriever 1000-200,0.938,0.738,0.85,1.0,0.896,0.551,0.829
Parent Retriever 500-100,0.706,0.75,0.953,0.983,0.962,0.809,0.861
Parent Retriever 1500-200,0.691,0.719,0.955,0.983,0.962,0.809,0.853
MMR,1.0,0.828,0.9,0.719,0.918,0.647,0.835
BM25,0.938,0.79,0.9,0.923,0.915,0.583,0.841
Ensambler 1,0.9,0.858,0.838,0.98,0.893,0.538,0.834
Ensambler 2,1.0,0.748,0.917,0.98,0.922,0.615,0.864
Ensambler 3,0.93,0.654,0.92,0.98,0.918,0.544,0.824
"Chunk 1000, overlap 20%, GPT-4",1.0,0.711,0.883,0.98,0.925,0.676,0.863
Search query,0.952,0.64,0.883,0.98,0.911,0.544,0.818
"Chunk 1000, overlap 0%, GPT-4",1.0,0.809,0.925,0.98,0.923,0.649,0.881
"Chunk 1000, overlap 10%, GPT-4",0.688,0.805,0.832,1.0,0.955,0.853,0.856
