System,Faithfulness,Answer Relevancy,Context Precision,Context Recall,Answer Similarity,Answer Correctness,Average
GPT-3.5,0.909,0.593,,,0.911,0.547,0.671
GPT-4,0.476,1.0,,,0.675,0.853,0.677
Naive,0.95,0.753,0.99,0.975,0.955,0.623,0.874
Recursive,0.95,0.753,0.979,0.932,0.955,0.627,0.866
"Chunk 500, overlap 0%",0.948,0.882,0.979,0.874,0.954,0.616,0.875
"Chunk 500, overlap 5%",0.938,0.762,0.979,0.905,0.954,0.624,0.86
"Chunk 500, overlap 10%",0.954,0.752,0.955,0.849,0.96,0.647,0.853
"Chunk 500, overlap 15%",1.0,0.759,0.965,0.893,0.959,0.62,0.866
"Chunk 500, overlap 20%",0.976,0.748,0.976,0.875,0.96,0.606,0.857
"Chunk 1000, overlap 0%",0.961,0.731,0.99,0.944,0.953,0.577,0.859
"Chunk 1000, overlap 5%",0.96,0.858,1.0,0.932,0.961,0.606,0.886
"Chunk 1000, overlap 10%",0.965,0.742,0.955,0.926,0.961,0.604,0.859
"Chunk 1000, overlap 15%",0.969,0.858,0.955,0.926,0.958,0.606,0.879
"Chunk 1000, overlap 20%",0.975,0.752,0.958,0.901,0.953,0.632,0.862
"Chunk 2000, overlap 0%",0.948,0.703,0.969,0.912,0.951,0.641,0.854
"Chunk 2000, overlap 5%",0.951,0.614,0.99,0.912,0.948,0.658,0.846
"Chunk 2000, overlap 10%",0.975,0.697,0.99,0.912,0.96,0.578,0.852
"Chunk 2000, overlap 15%",0.952,0.807,0.99,0.969,0.96,0.571,0.875
"Chunk 2000, overlap 20%",0.957,0.7,0.979,0.969,0.959,0.573,0.856
"Chunk 3000, overlap 0%",0.924,0.71,1.0,0.857,0.925,0.548,0.827
"Chunk 3000, overlap 5%",0.908,0.703,1.0,0.829,0.924,0.629,0.832
"Chunk 3000, overlap 10%",0.975,0.811,0.99,0.829,0.916,0.593,0.852
"Chunk 3000, overlap 15%",0.96,0.805,1.0,0.936,0.924,0.617,0.874
"Chunk 3000, overlap 20%",0.96,0.704,1.0,0.829,0.925,0.546,0.827
"Chunk size 1000, overlap 5%, K=2",0.901,0.77,1.0,0.814,0.959,0.627,0.845
"Chunk size 1000, overlap 5%, K=3",0.894,0.735,1.0,0.878,0.953,0.585,0.841
"Chunk size 1000, overlap 5%, K=5",0.752,0.91,0.934,0.969,0.942,0.822,0.888
Parent Retriever 1000-200,0.883,0.768,0.979,0.85,0.956,0.622,0.843
Parent Retriever 500-100,0.878,0.542,1.0,0.751,0.959,0.584,0.786
Parent Retriever 1500-200,0.857,0.782,1.0,0.765,0.956,0.634,0.832
MMR,0.854,0.767,1.0,0.92,0.938,0.557,0.839
BM25,1.0,0.734,0.969,0.933,0.961,0.618,0.869
Ensambler 1,0.95,0.827,0.969,0.982,0.931,0.543,0.867
Ensambler 2,0.926,0.774,0.924,0.969,0.907,0.721,0.87
Ensambler 3,0.948,0.616,1.0,0.92,0.941,0.598,0.837
Search query,1.0,0.741,1.0,0.957,0.962,0.626,0.881
"Chunk size 1000, overlap 5%, K=5, GPT-4",0.9,0.738,1.0,0.926,0.949,0.579,0.849
"Chunk size 1000, overlap 5%, GPT-4",0.884,0.734,1.0,0.932,0.949,0.555,0.842
Search query GPT-4,0.97,0.835,0.979,0.951,0.935,0.573,0.874
