System,Faithfulness,Answer Relevancy,Context Precision,Context Recall,Answer Similarity,Answer Correctness,Average
GPT-3.5,0.947,0.464,,,0.9,0.468,0.64
GPT-4,1.0,0.288,,,0.91,0.536,0.632
Naive,0.967,0.918,0.983,0.975,0.963,0.777,0.93
Recursive,0.967,0.737,0.983,0.96,0.963,0.773,0.897
"Chunk 500, overlap 0%",0.983,0.926,0.992,0.946,0.961,0.672,0.913
"Chunk 500, overlap 5%",0.975,0.932,0.992,0.903,0.96,0.71,0.912
"Chunk 500, overlap 10%",0.943,0.807,0.95,0.943,0.963,0.714,0.887
"Chunk 500, overlap 15%",0.982,0.899,0.964,0.978,0.962,0.668,0.909
"Chunk 500, overlap 20%",0.955,0.912,0.956,0.978,0.961,0.682,0.907
"Chunk 1000, overlap 0%",0.988,0.907,0.983,0.955,0.959,0.758,0.925
"Chunk 1000, overlap 5%",0.984,0.892,0.975,0.94,0.962,0.719,0.912
"Chunk 1000, overlap 10%",0.988,0.89,0.983,0.94,0.962,0.694,0.909
"Chunk 1000, overlap 15%",0.988,0.901,0.983,0.955,0.963,0.736,0.921
"Chunk 1000, overlap 20%",0.953,0.937,0.983,0.94,0.963,0.693,0.912
"Chunk 2000, overlap 0%",0.95,0.867,0.975,1.0,0.964,0.726,0.914
"Chunk 2000, overlap 5%",0.968,0.876,0.967,0.971,0.964,0.751,0.916
"Chunk 2000, overlap 10%",0.969,0.77,0.975,1.0,0.964,0.707,0.897
"Chunk 2000, overlap 15%",0.943,0.781,0.967,0.983,0.964,0.695,0.889
"Chunk 2000, overlap 20%",0.964,0.869,0.967,1.0,0.963,0.72,0.914
"Chunk 3000, overlap 0%",0.952,0.853,0.975,0.98,0.964,0.732,0.909
"Chunk 3000, overlap 5%",0.969,0.835,0.975,0.98,0.963,0.716,0.906
"Chunk 3000, overlap 10%",0.952,0.83,0.958,0.98,0.966,0.752,0.906
"Chunk 3000, overlap 15%",0.873,0.843,0.975,0.98,0.964,0.702,0.89
"Chunk 3000, overlap 20%",0.951,0.857,0.975,0.98,0.965,0.706,0.906
"Chunk size 3000, overlap 20%, K=2",0.966,0.815,1.0,0.858,0.962,0.77,0.895
"Chunk size 3000, overlap 20%, K=3",0.946,0.906,0.983,0.877,0.964,0.731,0.901
"Chunk size 3000, overlap 20%, K=5",0.864,0.706,0.969,0.971,0.957,0.639,0.851
Parent Retriever 1000-200,0.974,0.822,1.0,0.936,0.962,0.694,0.898
Parent Retriever 500-100,0.989,0.912,0.942,0.953,0.962,0.731,0.915
Parent Retriever 1500-200,0.988,0.643,0.942,0.953,0.962,0.689,0.863
MMR,0.887,0.617,0.979,0.783,0.938,0.844,0.841
BM25,0.981,0.897,0.95,0.958,0.96,0.707,0.909
Ensambler 1,0.944,0.876,0.945,0.935,0.963,0.716,0.896
Ensambler 2,0.799,0.843,0.791,0.962,0.959,0.834,0.865
Ensambler 3,0.957,0.69,0.981,0.946,0.955,0.694,0.871
Search query,0.947,0.921,0.983,0.955,0.964,0.75,0.92
"Naive retriever, GPT-4",1.0,0.916,0.992,0.975,0.962,0.71,0.926
"Chunk 1000, overlap 0%, GPT-4",0.988,0.815,0.975,0.955,0.961,0.732,0.904
"Chunk 1000, overlap 15%, GPT-4",0.971,0.883,0.983,0.94,0.965,0.681,0.904
