System,Context Precision,Context Recall,Accuracy,Average
GPT-3.5,,,0.0,0.0
GPT-4,,,0.3,0.3
Naive,0.825,1.0,0.1,0.642
Recursive,0.817,1.0,0.1,0.639
"Chunk 500, overlap 0%",0.8,1.0,0.2,0.667
"Chunk 500, overlap 5%",0.808,1.0,0.2,0.669
"Chunk 500, overlap 10%",0.817,0.9,0.4,0.706
"Chunk 500, overlap 15%",0.872,0.9,0.4,0.724
"Chunk 500, overlap 20%",0.844,0.967,0.3,0.704
"Chunk 1000, overlap 0%",0.881,1.0,0.2,0.694
"Chunk 1000, overlap 5%",0.944,0.95,0.2,0.698
"Chunk 1000, overlap 10%",0.781,0.95,0.2,0.644
"Chunk 1000, overlap 15%",0.917,0.8,0.3,0.672
"Chunk 1000, overlap 20%",0.831,0.9,0.3,0.677
"Chunk 2000, overlap 0%",0.781,0.9,0.1,0.594
"Chunk 2000, overlap 5%",0.797,0.9,0.1,0.599
"Chunk 2000, overlap 10%",0.772,0.9,0.1,0.591
"Chunk 2000, overlap 15%",0.772,0.9,0.1,0.591
"Chunk 2000, overlap 20%",0.847,0.9,0.1,0.616
"Chunk 3000, overlap 0%",0.847,0.9,0.1,0.616
"Chunk 3000, overlap 5%",0.831,0.9,0.1,0.61
"Chunk 3000, overlap 10%",0.797,0.9,0.1,0.599
"Chunk 3000, overlap 15%",0.825,0.9,0.1,0.608
"Chunk 3000, overlap 20%",0.881,0.9,0.1,0.627
"Chunk size 500, overlap 10%, K=2",0.85,1.0,0.3,0.717
"Chunk size 500, overlap 10%, K=3",0.842,0.9,0.3,0.681
"Chunk size 500, overlap 10%, K=5",0.819,0.9,0.3,0.673
Parent Retriever 1000-200,0.083,0.4,0.1,0.194
Parent Retriever 500-100,0.15,0.133,0.0,0.094
Parent Retriever 1500-200,0.093,0.267,0.1,0.153
MMR,0.792,0.833,0.2,0.608
BM25,0.056,0.3,0.0,0.119
Ensambler 1,0.289,0.9,0.1,0.43
Ensambler 2,0.566,0.8,0.0,0.455
Ensambler 3,0.82,0.7,0.2,0.573
Search query,0.803,0.9,0.3,0.668
"Chunk 500, overlap 10%, GPT-4",0.817,0.9,0.4,0.706
"Chunk size 500, overlap 15%, K=3, GPT-4",0.897,1.0,0.2,0.699
"Chunk size 500, overlap 20%, K=3, GPT-4",0.839,0.967,0.4,0.735
