System,Faithfulness,Answer Relevancy,Context Precision,Context Recall,Answer Similarity,Answer Correctness,Average
GPT-3.5,1.0,0.5818118859171184,,,0.8639422262061272,0.4833286301446053,0.6381804570446418
GPT-4,1.0,0.5670183219051912,,,0.8645398689266589,0.4497086851803827,0.6302111460020389
Naive,0.6293605347122119,0.9666666666666666,0.9329980904422859,0.9638888888609258,0.9634622949972902,0.8831070209804913,0.8899139161099786
Recursive,0.6267688281731368,0.9777777777777779,0.9391788364986875,0.9638888888609258,0.9634622949972902,0.8831070209804913,0.8923639412147183
"Chunk 500, overlap 0%",1.0,0.7754475797913816,0.8944444444132408,0.75,0.8886744425726922,0.5660914164721942,0.8124429805415847
"Chunk 1000, overlap 0%",1.0,0.9564110954288629,0.9833333333038888,0.96,0.9058578078126714,0.6427523958932857,0.9080591054064514
"Chunk 2000, overlap 0%",0.6323000788801207,1.0,0.9364527380348884,0.9638888888609258,0.9884622949972902,0.8837188242249343,0.90080380416636
"Chunk 3000, overlap 0%",0.6301866126354325,1.0,0.9264498914001736,0.9638888888609258,0.9634622949972902,0.8822347476579324,0.8943704059252925
"Chunk 500, overlap 5%",0.9760533903364679,0.9799197359388938,0.9407684515779108,0.9999999999975,0.8993257715526466,0.6012372844630823,0.8995507723110836
"Chunk 500, overlap 10%",1.0,0.8612787159391146,0.872222222198148,0.78,0.8914907594212671,0.5832401592653395,0.8313719761373116
"Chunk 500, overlap 15%",0.9629629629629629,0.9448932483410093,0.941666666638611,0.9,0.9012481219201444,0.7142009193689249,0.8941619865386087
"Chunk 500, overlap 20%",0.9722222222222222,0.9582761511561959,0.9749999999729166,0.9,0.9034406063150964,0.6820071675737462,0.8984910245400295
"Chunk 1000, overlap 5%",1.0,0.9541629428472522,0.9638888888609258,0.9,0.9039032459285627,0.6808409218619569,0.9004659999164497
"Chunk 1000, overlap 10%",1.0,0.9445142274150296,0.9361111110807407,1.0,0.9053966533068161,0.7210493797769205,0.9178452285965846
"Chunk 1000, overlap 15%",1.0,0.9592554076146733,0.9749999999724999,0.9547619047619047,0.903965492973349,0.7018944972047862,0.9158128837545355
"Chunk 1000, overlap 20%",0.9,0.9269276666333639,0.9388888888625926,0.925,0.9036877053287109,0.6522098051200564,0.8744523443241207
"Chunk 2000, overlap 5%",0.6198884105378176,1.0,0.936236639164342,0.9638888888617594,0.9884622949972902,0.881827886773185,0.8983840200557323
"Chunk 2000, overlap 10%",0.6607267662437523,1.0,0.9230422534606948,0.9638888888609258,0.9884622949972902,0.8830787082578171,0.9031998186367467
"Chunk 2000, overlap 15%",0.6486170124869272,1.0,0.9309258082552709,0.9238888888609258,0.9884622949972902,0.8839688025079282,0.8959771345180569
"Chunk 2000, overlap 20%",0.6153654858562387,1.0,0.9236398640105961,0.9155555555278703,0.9884622949972902,0.8810659776506473,0.8873481963404403
"Chunk 3000, overlap 5%",0.6091608764972655,1.0,0.9269638485416822,0.9638888888609258,0.9634622949972902,0.8807087642271971,0.8906974455207269
"Chunk 3000, overlap 10%",0.5981538467680005,1.0,0.9269659281745648,0.9638888888609258,0.9634622949972902,0.8804136007425131,0.8888140932572158
"Chunk 3000, overlap 15%",0.6245096418689113,1.0,0.9270379020495232,0.9638888888609258,0.9634622949972902,0.8817976528984557,0.8934493967791844
"Chunk 3000, overlap 20%",0.6290292052280252,1.0,0.9302166919852886,0.9638888888609258,0.9884622949972902,0.8822347476579324,0.8989719714549104
"Chunk size 1000, overlap 10%, K=2",0.8683333333333332,0.9570113483742219,0.99999999994,0.7571428571428571,0.9006388874787035,0.6742265796903961,0.8595588343265853
"Chunk size 1000, overlap 10%, K=3",0.9466666666666667,0.9325555899233823,0.9666666666266666,0.8071428571428572,0.9000119094855663,0.6453211361915377,0.8663941376727795
"Chunk size 1000, overlap 10%, K=5",0.9351851851851851,0.9213620127676183,0.9036111110872337,1.0,0.907359027745357,0.6870988605777958,0.892436032893865
"Chunk size 1000, overlap 10%, K=6",0.7380831098521249,0.9517489513293367,0.8882030733471185,0.9536666666529626,0.8669719873442501,0.8355426655964775,0.8723694090203784
"Chunk size 1000, overlap 10%, K=7",0.925925925925926,0.8922519911905091,0.9015039682362558,0.9,0.9027189023136917,0.6727218863162358,0.8658537789971031
Parent Retriever 1000-200,0.9490740740740742,0.8399197928198326,0.9722222221856482,0.85,0.9004843271442187,0.6357909382453848,0.8579152257448598
Parent Retriever 500-100,1.0,0.9439530304824466,0.9138888888575927,0.925,0.8994944502748716,0.6424351098949211,0.8874619132516387
Parent Retriever 1500-200,0.6534281883325986,0.9470899470899473,0.829265398794728,0.9011904761522818,0.8856712816262162,0.8393686890132998,0.8426689968348454
